"","Method","Environment","Time","Score"
"1",1,1,-1,66.69
"2",1,1,-1,64.78
"3",1,1,-1,63.74
"4",1,1,-1,64.59
"5",1,1,-1,66.31
"6",1,1,1,85.78
"7",1,1,1,85.84
"8",1,1,1,85.87
"9",1,1,1,84.18
"10",1,1,1,86.42
"11",1,-1,-1,61.51
"12",1,-1,-1,59.49
"13",1,-1,-1,62.39
"14",1,-1,-1,57
"15",1,-1,-1,59.9
"16",1,-1,1,77.46
"17",1,-1,1,70.98
"18",1,-1,1,72.24
"19",1,-1,1,76.73
"20",1,-1,1,74.16
"21",-1,1,-1,65.33
"22",-1,1,-1,64.23
"23",-1,1,-1,61.41
"24",-1,1,-1,65.48
"25",-1,1,-1,63.7
"26",-1,1,1,81.29
"27",-1,1,1,77.16
"28",-1,1,1,73.4
"29",-1,1,1,78.22
"30",-1,1,1,73.67
"31",-1,-1,-1,58.4
"32",-1,-1,-1,56.39
"33",-1,-1,-1,55.94
"34",-1,-1,-1,59.17
"35",-1,-1,-1,57.1
"36",-1,-1,1,70.19
"37",-1,-1,1,74.86
"38",-1,-1,1,75.05
"39",-1,-1,1,76.92
"40",-1,-1,1,69.43
