"","Method","Environment","Time","Score"
"1","ActiveRecall","Quiet","Short",66.69
"2","ActiveRecall","Quiet","Short",64.78
"3","ActiveRecall","Quiet","Short",63.74
"4","ActiveRecall","Quiet","Short",64.59
"5","ActiveRecall","Quiet","Short",66.31
"6","ActiveRecall","Quiet","Long",85.78
"7","ActiveRecall","Quiet","Long",85.84
"8","ActiveRecall","Quiet","Long",85.87
"9","ActiveRecall","Quiet","Long",84.18
"10","ActiveRecall","Quiet","Long",86.42
"11","ActiveRecall","Noisy","Short",61.51
"12","ActiveRecall","Noisy","Short",59.49
"13","ActiveRecall","Noisy","Short",62.39
"14","ActiveRecall","Noisy","Short",57
"15","ActiveRecall","Noisy","Short",59.9
"16","ActiveRecall","Noisy","Long",77.46
"17","ActiveRecall","Noisy","Long",70.98
"18","ActiveRecall","Noisy","Long",72.24
"19","ActiveRecall","Noisy","Long",76.73
"20","ActiveRecall","Noisy","Long",74.16
"21","PassiveReading","Quiet","Short",65.33
"22","PassiveReading","Quiet","Short",64.23
"23","PassiveReading","Quiet","Short",61.41
"24","PassiveReading","Quiet","Short",65.48
"25","PassiveReading","Quiet","Short",63.7
"26","PassiveReading","Quiet","Long",81.29
"27","PassiveReading","Quiet","Long",77.16
"28","PassiveReading","Quiet","Long",73.4
"29","PassiveReading","Quiet","Long",78.22
"30","PassiveReading","Quiet","Long",73.67
"31","PassiveReading","Noisy","Short",58.4
"32","PassiveReading","Noisy","Short",56.39
"33","PassiveReading","Noisy","Short",55.94
"34","PassiveReading","Noisy","Short",59.17
"35","PassiveReading","Noisy","Short",57.1
"36","PassiveReading","Noisy","Long",70.19
"37","PassiveReading","Noisy","Long",74.86
"38","PassiveReading","Noisy","Long",75.05
"39","PassiveReading","Noisy","Long",76.92
"40","PassiveReading","Noisy","Long",69.43
